Boiler_Type,Capacity_MW,Steam_Flow_TPH,Rated_Pressure_kgcm2,Rated_Steam_Temperature_C,Superheater_Weight_kg,Reheater_Weight_kg,Water_Circulation_System_Weight_kg,Economiser_Weight_kg,Steam_Drum_Weight_kg,Pipe_Supports_kg,Buckstay_System_kg,Boiler_Rough_Mountings_kg,Foundation_Bolts_kg,Grouting_kg,Insert_Materials_kg,Insulation_Weight_kg,Seal_Boxes_kg,Sealing_Arrangements_kg,Hoppers_kg,Chutes_kg,Deaerator_kg,Soot_Blowers_kg,Boiler_Mountings_Fittings_kg,Maintenance_Tools_kg,Field_Instruments_kg,Instrumentation_Erection_Hardware_kg,Electrical_Panels_kg,Electrical_Erection_Materials_kg,Illumination_System_kg,HP_Dosing_System_kg,LP_Dosing_System_kg,Common_Blowdown_Equipment_kg,Sample_Coolers_kg,Fasteners_kg,Gaskets_kg,Spares_kg,Miscellaneous_Items_kg,Total_Estimated_Weight_kg
AFBC,800,2000,250,300,1579962.5,1017557.6,918709.1,4900472.6,3790310.0,553090.0,1454594.4,180162.1,209744.2,178663.5,73461.7,1377656.6,199021.4,167652.1,640381.7,284526.5,930789.2,316633.9,584823.1,50711.6,85059.2,44707.5,124492.4,95140.1,21974.6,30257.5,13856.6,28932.6,11374.6,57782.9,29172.8,1067367.1,314528.3,21333570.0
Two-Pass,660,2000,250,350,1905255.9,934085.4,740207.9,5026697.2,2303794.5,543557.4,1348662.5,140431.0,195241.3,163181.3,65912.9,1082266.4,151964.9,128895.3,498889.7,248669.1,885737.9,296429.3,444017.0,41522.0,80601.2,40492.0,129359.0,74785.9,18492.6,28674.4,13502.6,24249.2,10665.5,48450.4,24206.6,833887.1,279933.1,18752718.5
AFBC,250,2000,200,300,1544556.3,1096720.1,233809.3,4945976.3,1056441.4,553828.5,596039.1,82402.0,128121.2,91524.3,51741.7,537399.8,96903.1,82954.0,334206.0,156927.9,1032867.8,175839.5,265892.4,35799.6,47902.3,28599.9,76093.8,50327.8,15793.2,21008.2,11852.8,20384.4,8386.0,41684.1,20284.3,588169.5,186148.4,14216585.0
AFBC,270,500,250,250,409111.1,212473.6,331219.0,1020375.8,1248932.7,282069.4,722749.8,100106.8,127166.8,95388.4,55532.4,363896.8,115072.4,86870.8,303526.2,138684.5,387081.5,157917.7,321723.7,32194.7,57164.6,30560.8,90402.6,62166.9,14085.4,21139.9,10413.7,17906.5,8385.5,26080.9,14910.2,326270.1,99016.8,7290598.0
Bi-Drum,200,500,250,250,438537.2,299492.6,238092.5,1179211.1,1379913.3,290954.7,626364.1,75030.6,95731.9,93862.7,42691.0,307356.6,88079.6,78937.1,302183.9,136531.9,469364.7,135106.2,228073.6,34060.0,44852.8,26518.8,70074.2,55228.2,15082.2,22259.4,11455.9,16793.1,8064.3,23368.0,11994.2,304778.3,109433.6,7259478.3
CFBC,250,1000,325,250,968816.2,636759.0,292803.1,2311893.5,1462221.2,426935.3,757595.9,82270.5,106635.4,105154.6,53795.6,513355.5,121664.9,104868.9,291770.4,157324.1,705347.3,181039.5,308237.4,30777.6,47506.0,33108.5,90189.3,52131.0,15636.3,21182.9,10096.5,20755.1,8174.2,34926.8,14409.8,502643.4,154557.9,10624583.6
AFBC,200,300,100,300,171371.3,118332.7,125861.9,729879.8,741773.0,231528.5,580860.1,73059.5,100049.2,81410.5,47382.7,255454.3,84039.5,86070.6,258311.5,136331.1,334823.1,140498.5,228755.2,34707.4,44117.9,31120.0,69904.6,54999.9,14772.1,22708.4,9831.9,16669.2,7826.3,21498.2,12472.7,216186.7,64679.1,5147287.4
CFBC,500,2000,250,250,1863731.4,1218947.9,567641.9,4032924.5,2081264.8,592130.6,1502755.8,121992.2,168734.4,142599.3,58830.1,851394.4,202393.7,146195.5,423597.2,189759.5,905239.3,223018.8,375080.8,38278.1,60299.0,36387.6,98809.0,68102.1,19504.3,30234.1,12492.4,21820.4,11460.3,42527.2,25356.4,878199.6,263348.3,17275050.9
CFBC,250,200,300,300,159836.8,125418.8,328109.1,483912.7,1259101.7,274343.9,762512.1,83198.6,106410.0,105962.6,51873.1,311741.1,118304.3,105322.7,334771.4,153931.1,226654.4,156699.2,261412.2,35674.2,47586.1,28489.4,87285.7,51910.6,13822.3,21481.9,10336.4,17696.4,8398.1,22149.2,10734.9,321382.2,82093.5,6168556.7
Two-Pass,250,500,300,250,356977.3,234678.3,339259.4,1034988.9,1025062.2,311898.6,649017.4,99004.3,106604.0,91356.0,45060.0,359348.3,105472.5,94053.5,346097.7,131240.5,454969.8,181387.2,262611.2,36669.2,47897.8,33607.6,87174.8,51411.4,13348.9,24409.5,12042.3,17431.8,9645.4,24713.9,12468.9,355154.4,105022.3,7060085.3
Bi-Drum,200,1000,150,250,674472.6,442758.9,187154.7,2069589.5,1083512.6,343770.6,521437.9,83807.6,96576.5,82792.9,48098.9,430368.9,101740.5,89382.5,293971.7,138364.8,709579.6,138679.2,269670.4,33579.7,44723.2,26622.5,71445.7,54772.4,15076.0,19276.7,11363.8,19741.4,9003.1,27081.2,13518.3,460067.3,118747.8,8730749.4
AFBC,250,500,100,300,281898.2,207918.3,165154.9,1228268.1,775246.5,251661.4,593128.5,95125.6,123367.5,104824.9,52175.9,347530.8,108665.9,95494.4,345883.8,157606.2,464534.2,177859.4,295872.0,30712.3,56651.6,29230.8,89191.5,50652.9,13925.4,24111.5,11962.5,17661.1,8258.1,29765.8,12551.2,292318.5,85045.4,6624255.1
AFBC,270,1000,250,250,719115.0,512280.5,282643.7,2396738.6,1434261.6,419108.8,624287.0,100856.0,131055.8,107148.7,46536.8,460049.9,97781.2,84811.7,305990.6,137775.5,587407.7,187543.8,264327.9,31906.4,59003.0,34532.8,77207.5,53907.0,13821.4,21071.0,11963.1,21342.2,9657.5,34697.3,14960.7,419072.9,150932.4,9853796.0
AFBC,500,1000,200,400,810424.4,501295.7,573054.8,2206458.0,2264512.0,474263.9,1002317.3,119533.1,169784.8,122771.5,58515.7,700136.0,157253.8,116834.9,437295.8,194211.2,687915.4,250252.6,440604.7,44326.5,62364.4,43324.8,100925.6,65925.4,16456.4,25480.3,12200.3,22432.3,11261.1,37843.9,21147.4,544482.4,165704.5,12461310.9
Bi-Drum,270,150,100,400,112993.1,76800.8,181252.9,395390.1,1232452.0,246491.4,766662.1,86024.9,132103.2,110050.6,47881.4,307682.5,101535.0,90075.7,309341.6,165721.0,191597.8,188859.1,274472.1,32741.4,48424.9,34458.3,79238.9,52202.3,15883.2,24629.2,12513.0,21182.3,8331.8,22072.7,12631.1,293214.8,73622.4,5748533.6
Two-Pass,500,500,300,300,376116.3,221674.1,600810.1,1053686.4,1987510.3,336587.9,976866.2,139623.7,173053.0,142513.2,60961.5,682860.9,129850.5,130426.5,428943.7,194163.0,396202.8,217192.6,451664.9,39454.1,62537.3,37010.2,100543.4,79586.5,19603.3,26245.7,12415.5,25871.9,9837.6,37892.0,16341.2,434438.9,134785.3,9737270.5
Two-Pass,500,1000,250,300,867773.9,491218.1,635858.0,2080267.2,1855838.4,389584.2,953499.4,123586.7,150442.1,121929.5,60615.5,718595.3,134879.8,132181.5,485969.8,217301.8,709284.7,213458.7,432793.5,39451.0,62051.6,42627.0,102553.8,79743.8,17193.9,26444.4,14089.5,21938.0,9703.9,42414.0,18359.7,615869.8,184222.3,12051740.8
AFBC,270,300,325,350,299108.5,153378.1,370322.8,658504.8,1595954.3,301535.7,619381.3,100947.1,114548.1,108544.0,53723.5,320372.0,116447.1,85962.8,359999.6,162678.7,335232.5,188681.5,277308.6,31943.3,57045.1,29398.3,93106.6,53077.3,14204.0,24342.7,10425.3,21061.3,8399.5,24182.8,12016.4,343242.5,104653.9,7049730.0
AFBC,200,500,150,250,343661.9,182875.0,187751.5,1190539.0,864424.3,285618.0,497268.3,73023.7,112657.8,92726.2,41354.1,305830.3,86987.4,86999.7,251759.5,136462.2,395183.7,139244.0,225487.5,28713.2,50968.2,30789.3,68187.7,54883.8,12727.7,19270.3,9824.6,17051.1,9143.8,23824.5,13847.3,310921.1,91864.3,6241871.0
AFBC,660,150,150,400,100985.0,74137.0,590626.6,330736.0,2568187.0,287857.6,1215803.4,145805.9,169320.1,163102.5,67391.2,558725.3,150297.0,156897.1,496027.2,249571.3,192317.3,254637.1,436349.4,47947.6,66268.3,40241.7,131982.2,87824.2,18330.9,27961.2,14967.6,27259.3,10550.1,32428.7,19191.7,404888.9,124353.9,9262970.3
Bi-Drum,200,200,100,400,150939.8,102377.9,128368.2,447295.4,929581.6,243784.4,537976.5,74558.5,112781.5,80180.7,42657.3,233820.0,88360.4,76384.9,293482.4,138712.0,266675.7,137859.0,236275.4,29284.2,45027.1,31290.0,70119.9,53891.6,14791.4,22888.1,9709.6,17046.3,8960.0,19811.7,11778.8,253584.4,78222.5,4988477.2
AFBC,660,1000,200,350,788128.0,474585.0,670743.3,2182070.2,2511126.4,431299.3,1262922.3,168757.8,166355.5,135625.5,78521.6,872260.8,152694.5,153889.4,507390.2,250053.5,682848.2,292929.7,445290.9,43138.3,78538.6,48135.7,131485.7,76403.6,18551.1,32345.5,15055.1,23514.4,12115.1,40839.6,20458.5,614923.9,216902.1,13599899.3
Bi-Drum,270,1000,250,250,773780.5,598594.7,325714.0,2320770.3,2076016.9,440689.5,767372.0,100512.0,114333.4,109751.0,46914.7,452373.5,102755.7,103499.0,351531.3,165578.3,613973.5,187367.2,276767.3,32177.4,49502.4,34855.0,90644.6,61063.2,16251.1,21591.5,10705.2,20713.9,9885.8,30464.2,17513.2,547691.6,137317.4,11008671.3
Bi-Drum,100,500,150,250,373873.0,249718.9,74897.3,1165863.1,579309.7,240857.7,323171.6,49474.4,84629.2,70553.7,31859.2,214877.7,73842.9,62402.4,204452.1,83043.3,386827.2,115079.7,153664.5,27255.1,41511.7,24176.0,52749.2,35220.2,10411.8,18640.5,9351.1,15747.8,6500.0,22232.1,9227.8,224068.6,77510.3,5112999.8
AFBC,200,300,100,250,156209.4,113857.4,149581.9,689853.3,735872.4,199474.6,508527.4,73097.8,114540.9,94201.0,48658.4,259615.2,84824.3,86516.5,303882.5,116941.8,344512.3,162810.2,267178.1,29944.5,51125.3,26783.6,82268.3,47040.4,12655.9,23032.9,11492.2,18899.9,9235.9,24678.6,12366.7,248944.8,65835.4,5174459.8
AFBC,200,2000,100,250,1332988.8,819555.7,150393.4,4747462.5,632552.8,511166.6,500882.4,74276.2,97752.4,93592.0,41602.2,461563.3,85775.1,86984.7,254575.2,117216.6,924467.1,141865.8,264752.7,29901.3,51393.1,31735.6,82727.9,54531.3,12669.1,22562.8,11475.4,17018.6,7853.1,39861.7,17264.9,512666.9,156384.5,12387471.7
AFBC,250,1000,325,400,949235.3,691529.3,351141.9,2279625.3,1280631.1,437456.7,599442.5,96323.3,108960.4,106801.8,52752.3,441459.2,93445.0,95080.8,296393.7,130675.8,608757.8,181886.7,306029.3,36289.2,55659.5,28999.1,77272.9,59205.5,13439.8,21040.1,11980.5,20889.7,9787.2,33763.9,17111.5,459499.2,134159.7,10086726.0
CFBC,200,1000,300,250,808364.0,627867.5,223914.4,2034967.0,979912.0,405310.4,648942.2,85898.9,95372.4,96269.0,48397.3,433328.5,126482.3,93235.4,293565.8,139704.5,703193.4,140015.5,229332.6,29998.7,45748.3,26923.8,80740.2,53388.4,12582.2,20067.4,11415.8,19194.5,9187.1,32202.9,16053.0,463817.0,119935.4,9155327.8
CFBC,270,2000,300,250,1940366.5,1300814.3,357380.4,4680774.5,1527159.0,565389.2,946237.6,89021.1,108851.0,94006.2,55436.7,580249.4,146808.5,108523.3,310204.7,142255.5,919330.0,188307.1,273239.0,37512.8,58632.1,29995.5,90890.6,61630.8,16065.3,21436.1,10515.9,18198.8,10012.4,36482.0,18399.1,650395.8,228672.4,15623193.6
Bi-Drum,660,2000,300,350,1984525.5,1548971.6,962760.2,4938864.1,4151881.8,602407.8,1299229.1,163748.6,194110.2,161036.2,67166.9,1226251.3,184941.1,137060.5,571063.1,220869.6,913909.1,253762.6,451360.3,42224.9,67881.3,47832.4,132881.1,74620.3,20856.2,33200.0,15564.1,27392.9,12150.2,47463.9,27653.0,985077.8,338738.9,21907456.6
AFBC,270,300,150,350,232116.9,146543.8,216267.8,637232.3,1181737.3,239115.1,622183.3,85795.0,111468.8,106655.3,47960.5,328210.8,114956.7,84433.3,299033.8,161226.0,289234.9,187353.9,314881.6,38136.6,50915.5,29645.4,91548.3,60485.9,16320.8,21284.2,10596.1,21475.7,8557.1,23766.5,12055.3,307269.6,95952.2,6194416.3
CFBC,660,1000,300,400,1157789.2,747984.1,979815.4,2548623.0,3416358.8,546994.5,1573237.8,163425.8,194800.0,138939.3,68589.5,857942.6,195014.9,167338.3,509794.1,258391.2,707747.6,287448.9,506158.9,47995.4,69457.5,41398.9,132766.3,88705.9,18322.7,33288.2,13127.9,24393.0,10393.0,47020.9,23702.2,823283.3,238497.6,16638746.7
Bi-Drum,100,2000,100,350,1661521.6,932531.1,70990.9,4253545.7,583959.9,531998.1,361045.1,58477.4,84796.7,59586.0,32041.8,334560.5,72297.3,54776.6,180797.6,97963.3,1066235.8,100522.1,184900.2,27386.0,34657.5,20952.0,52722.2,41614.4,10333.5,16100.5,8092.4,15824.2,7662.0,28943.7,14199.8,599985.4,180108.5,11781129.8
Two-Pass,50,150,200,250,88711.7,60151.6,45418.7,301026.8,207585.0,125965.0,172762.6,40697.9,60763.9,44252.0,28256.4,93726.6,41501.3,41884.5,138758.5,61220.0,192370.9,70323.3,124837.8,22646.9,32363.3,18849.6,47700.7,26406.0,9792.4,15297.7,6798.8,10907.7,5580.2,11649.0,6718.7,98162.4,29750.0,2282837.9
AFBC,50,150,250,300,124228.8,64815.2,44157.8,313266.1,267057.4,132370.6,173855.8,34418.1,61908.1,51736.0,28351.4,93146.1,42265.8,37490.9,138037.3,69505.7,194579.6,68403.9,104812.2,22008.6,27551.2,19249.7,39344.0,30687.2,8369.7,13267.5,7916.2,10828.7,5548.0,13205.2,6558.4,107439.6,36785.3,2393166.1
Two-Pass,200,500,100,250,291289.4,148376.2,128119.5,1155781.6,642869.6,222485.6,558253.2,72694.3,97961.5,94266.2,47679.7,308950.6,83546.8,84127.8,259510.5,121255.4,459322.6,163459.3,235725.9,33642.5,43745.1,30816.5,81500.2,53237.0,14669.4,19851.3,9961.3,16799.0,9279.5,26856.2,13806.5,253651.2,74158.5,5857649.9
Two-Pass,500,500,325,350,411817.9,274401.3,740289.4,1087865.8,2008030.7,404576.9,951170.0,142571.2,144998.4,125884.2,61529.3,681186.7,129146.5,129805.9,425695.7,223627.3,391865.8,214555.3,452721.9,45837.4,62569.7,42770.7,98461.3,77946.3,16377.8,26062.3,12309.8,21513.8,9999.7,33674.6,19326.0,513880.0,155639.4,10138109.0
Bi-Drum,200,2000,250,250,1844921.5,1111904.5,204850.0,4662732.5,1343886.5,566969.9,628043.8,73617.8,113617.9,81302.3,48672.5,454940.2,88884.7,77633.4,304547.8,138611.8,909653.8,137304.9,233391.0,29950.6,45858.6,27461.6,80220.8,47673.9,12413.8,19208.3,11465.0,19097.2,7702.1,34540.0,17149.6,623010.5,215474.5,14216713.3
Bi-Drum,500,150,300,350,153056.0,86061.1,610833.5,331930.0,3887181.7,348864.4,1238887.7,119017.3,172635.2,123446.4,60475.3,468696.4,164811.4,144754.9,498875.9,215662.9,218520.3,218653.1,445778.6,45720.2,61624.5,43023.3,102038.2,76664.7,19060.8,30633.4,12148.2,25742.4,9968.3,28786.9,14843.9,434098.4,156740.7,10569236.0
CFBC,100,500,100,250,285143.7,184029.6,70532.0,1032056.9,394801.0,216682.8,394817.9,49873.1,71978.4,70337.3,36394.7,188422.4,87255.8,65047.7,201064.5,86620.1,449710.6,96194.8,178776.7,27151.4,41159.4,24184.6,53068.8,40502.5,11763.6,16020.1,8344.0,15396.4,6567.1,19172.0,10741.2,237804.0,61580.7,4733195.8
Two-Pass,500,2000,250,400,1962213.2,1014872.6,641247.6,4412456.7,2106230.3,611260.9,948815.9,143819.1,169036.7,120913.4,69518.5,871313.6,154629.4,132984.4,503292.2,224914.1,1031303.8,220538.9,377136.8,45083.9,71937.3,36802.6,118718.6,76859.0,16312.8,30252.6,12573.5,25742.6,11700.4,49785.2,25710.4,878805.6,259585.9,17376368.5
AFBC,270,500,100,350,309125.5,191664.6,182787.9,1230384.9,826069.3,295950.3,748719.6,85183.0,110529.5,91982.0,46535.6,439046.8,97254.2,100854.2,357940.8,159309.6,384984.5,187264.9,265602.6,37446.1,58582.8,29417.7,77483.8,61391.8,14089.2,24433.6,12321.3,21539.8,8552.2,30380.1,15234.9,341535.6,105283.3,6948882.0
Two-Pass,500,300,300,400,239197.5,145837.2,703035.4,771418.1,2260065.9,304285.2,1101056.4,143444.3,146403.4,121427.1,68357.2,485992.3,133967.9,130393.6,417779.2,188817.7,286028.5,216580.9,449478.1,38112.5,72332.3,41973.9,116429.0,77115.3,16855.7,29523.7,13976.6,25868.4,11300.8,31184.2,17678.0,392967.5,121773.6,9320657.4
Bi-Drum,200,500,150,250,321222.1,219077.6,183011.9,995508.8,1094447.0,315618.3,517466.9,73338.8,115183.6,95844.7,48173.4,309340.9,90573.0,77926.8,295982.4,118442.7,465769.0,136021.6,272647.7,28853.0,50774.5,26931.1,69218.8,47308.5,12640.3,23073.9,11244.4,19245.2,9338.8,22867.6,11805.6,284742.0,86120.1,6449761.0
CFBC,50,150,150,300,113424.1,74000.7,34431.6,367493.8,221731.3,129345.6,266161.9,39426.0,51466.2,44086.9,23881.5,80503.7,63947.8,54367.3,122095.5,59124.3,195001.2,68759.8,123797.8,22152.6,32052.1,16537.3,46244.3,26747.0,9847.6,15258.2,6771.6,12527.7,5466.7,13097.8,6686.8,125744.3,32327.9,2504508.9
CFBC,100,200,150,350,136925.5,91488.3,84257.4,434086.3,469641.9,189945.5,458502.4,59691.7,72344.5,68161.2,30899.1,166803.1,88422.5,65259.7,205478.3,85316.1,232898.4,113888.1,153288.5,28332.7,35730.3,24796.1,61851.6,40365.5,10440.4,18464.9,8052.5,15740.4,6594.0,17978.4,9006.2,161360.0,56304.0,3702315.5
Bi-Drum,500,1000,200,300,808630.7,625743.5,491147.2,2425140.0,2792112.8,503939.1,1235445.6,121735.8,171600.0,124120.0,60480.8,827025.1,165420.6,121182.9,421929.8,189640.1,691560.3,219174.3,439927.6,38508.4,62970.4,42283.9,103152.0,67607.3,19486.8,30037.5,14022.4,25188.6,10044.7,42969.5,21159.7,599227.9,207250.7,13719866.0
Bi-Drum,100,2000,100,350,1373798.3,930827.3,71025.1,4948831.5,585173.3,448497.9,359059.8,51587.5,72153.6,69060.3,37225.6,279158.5,64434.0,53650.2,200054.5,82912.4,924542.0,112167.7,159163.2,27095.6,34651.9,24275.0,61835.0,34932.1,12032.3,18103.1,9617.4,15584.0,6641.4,29310.0,16526.9,523711.8,174929.4,11812568.6
CFBC,50,1000,300,250,925935.7,536714.4,57045.2,2304507.8,328657.9,362809.9,269075.0,33432.4,60303.6,44565.6,28236.5,140108.5,54058.4,53378.7,117100.2,68849.8,683127.4,68366.9,108300.6,22531.4,32460.2,19043.2,46249.7,26820.8,9650.1,13043.9,6869.0,10778.2,6616.8,19207.4,9586.3,292646.2,102661.1,6862738.8
Bi-Drum,800,2000,250,250,1615073.6,1269273.5,921568.9,4073170.4,5587906.3,706605.8,1515183.3,186817.0,184048.2,180012.8,83881.5,1188049.1,208550.3,180630.1,554975.2,280712.5,1056049.6,325758.7,490463.7,45064.6,72516.1,42703.4,143185.6,94102.8,19515.0,34263.8,13770.1,24574.9,11032.1,59713.8,25547.2,1134070.8,342828.1,22671618.8
Two-Pass,250,200,150,400,133383.3,88971.9,205894.7,520226.3,774458.8,204640.5,571664.8,81545.7,123983.5,103681.2,53991.9,310815.5,109033.0,79596.6,298855.6,134483.5,264680.2,155764.7,255165.9,31973.0,49322.5,33589.5,89590.0,50757.2,15537.4,24268.4,11904.9,20453.3,8396.5,24980.3,12610.4,223290.4,69119.4,5136630.8
AFBC,800,2000,300,400,1909805.7,1155603.2,1022967.7,5111587.4,4004226.2,685120.0,1436622.7,181207.2,180529.5,176626.0,83247.7,1433287.6,198168.9,172759.2,640544.7,245801.7,1032607.0,280814.3,563048.3,44328.7,73196.2,50995.9,118754.8,82138.0,19002.6,34278.9,13559.3,29893.0,11128.7,57943.8,25722.9,966726.4,281314.5,22323558.7
AFBC,660,1000,325,400,929930.5,571563.2,867559.5,2179930.9,3582571.3,545552.5,1226074.4,161436.2,190325.7,138742.1,76683.1,993326.0,176479.4,136826.2,503670.2,251248.1,587533.0,291164.3,448000.3,48407.2,79389.3,46207.6,129352.0,74026.7,17804.5,32409.8,13425.3,24236.8,12398.8,40917.6,20951.5,779918.0,233782.5,15411844.5
CFBC,50,150,150,400,106227.1,81443.3,33587.8,380079.1,256614.8,133670.1,235269.1,39596.5,51003.8,50759.7,23722.5,92044.2,53345.2,46074.2,123088.0,70782.1,224126.5,70544.4,105988.7,19021.7,31958.9,16733.7,45584.7,31240.1,9852.3,14820.5,7863.6,11030.2,5710.2,11337.3,6485.0,126244.9,32710.2,2548560.4
Two-Pass,100,200,100,350,126239.7,62915.7,68483.5,441274.7,288788.8,149697.9,331780.6,50380.1,72014.9,60289.8,31267.7,165925.0,59894.6,59912.9,175581.6,84980.5,268606.6,116011.4,161130.5,27821.6,35153.9,20641.5,52834.8,40327.1,12011.6,18338.5,8329.2,13476.5,6684.8,17506.4,7728.6,166277.2,48371.2,3250679.4
AFBC,200,500,150,300,377470.2,201338.5,180186.5,1200602.9,875134.5,285471.2,594211.1,74511.0,97536.6,79792.3,47306.4,356512.8,86075.6,85184.6,250972.2,121243.6,467523.8,162941.1,266443.5,28612.4,52012.0,31843.5,69009.0,53161.6,12928.9,23272.6,11316.8,18907.3,9008.4,23917.5,13328.3,268858.7,94345.3,6520980.7
Two-Pass,250,2000,100,250,1237056.8,628330.1,163580.1,4125728.8,773291.4,491721.6,578879.2,95652.8,122582.4,89921.5,44784.7,626209.4,94985.1,94235.0,340875.7,157161.3,1049051.6,156314.7,300076.9,30633.1,56659.6,28341.6,86887.0,59067.4,13666.9,21188.8,10304.2,17566.5,8443.0,35278.3,20285.6,607596.0,157076.6,12323433.7
AFBC,250,1000,200,250,688541.5,500120.4,272232.8,2339082.9,1043389.6,390478.9,702119.0,97090.1,123718.6,91258.9,52108.0,497385.1,112550.3,96488.5,289599.1,132675.0,692114.1,152018.7,300076.4,35922.8,49270.9,29695.6,75914.6,50862.3,13714.6,20636.8,11988.7,17908.8,9643.4,34422.7,16940.8,394776.0,137783.1,9472529.0
Bi-Drum,200,150,100,350,110390.0,73224.7,132218.8,328240.3,933710.7,223809.5,624254.6,84528.4,97764.8,80117.3,42235.5,206261.1,88335.8,88836.9,251281.8,119477.2,224524.1,136817.6,236173.2,34761.3,52912.7,26459.9,81770.0,55291.5,14750.6,22521.6,9935.8,16883.3,8078.3,22381.0,11021.1,206544.9,72413.6,4717927.9
AFBC,50,300,200,350,252122.4,159307.0,45688.0,633658.0,244786.2,202944.2,181692.3,40598.8,59432.2,43684.5,23342.3,115090.3,49861.0,36598.7,141599.4,61259.9,339501.3,82225.7,107805.5,19250.1,28185.4,19288.3,40940.0,31140.3,8231.7,14883.0,6953.7,12735.4,6485.8,15732.1,6519.2,160962.3,42739.6,3235244.6
CFBC,270,1000,300,250,829858.4,521737.8,361496.0,2300364.2,1323171.3,369839.1,976426.9,98725.7,132291.1,91263.8,47164.9,533420.9,144897.7,126388.2,346345.1,159911.6,595793.7,160698.4,272031.1,36829.4,58491.3,30403.2,91298.1,52479.9,13766.7,21184.8,12080.4,18334.1,9797.1,29456.5,15027.7,526112.1,135165.0,10442252.2
Two-Pass,50,1000,100,250,524615.6,302050.2,32313.4,2373641.9,185469.2,281696.3,201324.4,40713.1,51974.7,50708.6,28055.3,143694.0,47757.2,41377.3,122599.1,58758.2,701599.0,70730.2,125578.3,22009.3,31691.6,19499.4,46099.5,26356.3,8355.2,12592.2,6903.0,12766.6,6371.3,22432.6,11081.4,243304.0,88041.2,5942159.6
AFBC,800,2000,300,400,1902957.2,1181182.9,1046129.8,5269651.1,4106792.8,705418.7,1628955.2,182493.4,212344.8,179677.4,71363.1,1213145.3,171735.4,148490.8,628905.6,242612.7,1034672.7,276302.8,504970.1,45548.6,84445.7,43021.3,141315.1,93945.8,19775.6,33823.2,16113.3,25853.5,10886.2,57612.9,29241.6,1125161.8,279234.1,22713780.5
Bi-Drum,100,200,100,350,126582.3,98599.1,70444.5,507016.7,589074.2,197561.6,369172.6,59547.5,73183.7,70112.3,36786.3,163525.6,72906.3,53221.1,205558.9,83673.9,225590.6,112529.6,183709.8,27302.9,34958.3,20969.3,52540.7,41019.3,12257.8,18760.6,8189.2,13411.9,7783.8,14971.3,7846.7,185130.6,54840.3,3798779.3
Two-Pass,660,1000,325,350,967605.4,495933.6,873261.0,2202724.0,2645862.4,434905.7,1166958.4,140535.0,197917.5,163344.7,76582.4,881130.0,178377.9,130089.2,588135.0,212975.8,710919.3,293666.7,454735.3,41073.6,69320.7,40238.4,112365.4,73073.1,20699.8,28694.3,14980.3,27044.9,10888.1,40237.1,20536.7,623962.6,191665.0,14130439.3
Two-Pass,660,1000,300,250,729129.7,481156.3,973596.5,2346579.6,2463686.0,434381.1,1165189.0,139153.8,194669.0,140748.5,78266.6,992698.0,171788.9,152395.1,490269.9,252331.5,693654.7,290803.2,514949.4,43135.7,77786.9,48220.5,111160.9,74357.5,18584.2,28494.4,13091.1,24226.3,10607.1,47796.0,20495.0,625482.5,209962.0,14058846.9
Two-Pass,250,300,200,250,180562.1,102576.9,235486.0,612705.5,890188.6,220002.7,643572.2,82062.3,110666.6,106849.4,52491.9,355538.3,110376.4,92161.9,288768.8,137345.8,333437.3,182133.2,256841.0,35793.5,49478.2,28729.7,76951.0,49854.6,13858.8,20749.4,10200.4,17853.0,9574.0,27013.0,13608.6,289051.5,75404.5,5711887.1
CFBC,500,1000,325,400,1170353.4,649348.2,646107.1,2607905.9,2761539.1,498187.9,1314360.6,144464.1,168784.0,141860.2,59360.8,811266.0,174933.9,147696.2,497464.7,224963.9,683440.4,250401.3,372076.4,45595.1,60314.3,36609.2,116299.5,67100.8,16668.7,30117.0,12463.6,21486.7,11643.8,37605.0,21878.9,602406.6,214117.9,14618821.2
Bi-Drum,200,1000,250,350,1028075.2,686152.9,203285.1,2536410.5,1332300.1,430567.9,618772.9,84928.9,113074.9,95837.8,41307.1,437400.0,101470.5,76631.9,259280.1,139078.8,597870.6,158989.8,271666.9,33496.4,44869.8,31393.1,80088.3,54257.2,12960.9,22528.1,11485.0,16987.1,8019.0,27388.6,13533.1,502988.9,148236.3,10221333.7
Two-Pass,250,1000,325,250,735595.9,431484.1,338774.6,2068441.6,1258680.9,415716.4,561166.0,96078.3,106102.7,89623.8,52540.5,507957.2,109334.3,78783.1,335781.5,135024.0,680805.3,177291.9,305793.0,36658.4,47870.4,29624.3,88487.3,51238.5,13520.2,24800.8,10184.6,21076.3,9685.5,34053.7,14877.9,480977.9,123035.3,9471066.2
AFBC,250,1000,200,350,917306.5,493423.4,269027.8,2564779.1,1035369.5,350495.9,584581.7,96346.4,106950.9,102056.8,52873.2,426448.9,112387.2,81951.4,298058.5,154246.9,711560.1,158671.6,264397.7,31386.1,47042.4,29208.5,89994.9,52259.7,15961.2,20478.6,12040.2,20912.0,9849.6,29289.0,14811.8,492811.4,122408.9,9769387.8
